epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,183.312,0.35125,0.32334,0.82639,1,0.99142,0.995,0.93574,0.31716,0.32298,0.78828,0.0011486,0.0011486,0.0011486
45,187.128,0.33984,0.31879,0.84428,0.98147,1,0.995,0.96023,0.29951,0.32463,0.78105,0.0011288,0.0011288,0.0011288
46,192.177,0.33423,0.31245,0.82493,0.99422,1,0.995,0.97506,0.29137,0.30961,0.78723,0.001109,0.001109,0.001109
47,195.999,0.32138,0.31361,0.82389,0.99256,1,0.995,0.94077,0.31796,0.3169,0.78914,0.0010892,0.0010892,0.0010892
48,199.257,0.32002,0.31364,0.82428,0.99275,1,0.995,0.93727,0.29784,0.29734,0.78148,0.0010694,0.0010694,0.0010694
49,203.727,0.33887,0.31659,0.83401,0.9973,1,0.995,0.95137,0.2931,0.26512,0.77839,0.0010496,0.0010496,0.0010496
50,208.232,0.33661,0.31228,0.83598,0.99117,1,0.995,0.93868,0.32008,0.31838,0.78071,0.0010298,0.0010298,0.0010298
51,211.64,0.31432,0.30709,0.81938,0.9554,1,0.995,0.94364,0.30586,0.37084,0.77756,0.00101,0.00101,0.00101
52,215.301,0.30651,0.31888,0.81711,0.98388,1,0.995,0.94643,0.29597,0.33836,0.77346,0.0009902,0.0009902,0.0009902
53,220.396,0.32001,0.30951,0.82959,0.97981,1,0.995,0.9457,0.29659,0.29658,0.77265,0.0009704,0.0009704,0.0009704
54,223.99,0.32567,0.31447,0.84538,0.98062,1,0.995,0.96015,0.2839,0.29742,0.77268,0.0009506,0.0009506,0.0009506
55,227.7,0.31223,0.28766,0.80448,0.98993,1,0.995,0.97244,0.24854,0.25347,0.76925,0.0009308,0.0009308,0.0009308
56,232.184,0.30949,0.28721,0.8233,0.9581,1,0.99393,0.97909,0.26084,0.28801,0.77513,0.000911,0.000911,0.000911
57,236.2,0.29507,0.28558,0.82984,0.95835,1,0.99107,0.96234,0.2818,0.30109,0.7756,0.0008912,0.0008912,0.0008912
58,239.722,0.30147,0.28537,0.80352,0.96074,1,0.99107,0.96964,0.26271,0.27929,0.77237,0.0008714,0.0008714,0.0008714
59,243.632,0.29126,0.27944,0.81592,0.96136,1,0.995,0.96615,0.27533,0.28023,0.77442,0.0008516,0.0008516,0.0008516
